datetime;conductivity;temperature1;temperature 1 corrected;pressure;temperature2;temperature 2 corrected;voltage;Remarks
2024-01-26T19:58:23;0;26.8;26.85;0.004;26.7;27.14;4.04;
2024-01-26T19:58:23;0;26.81;26.86;-0.001;26.7;27.14;4.014;
2024-01-26T19:58:24;0;26.82;26.87;-0.001;26.7;27.14;4.014;
2024-01-26T19:58:25;0;26.82;26.87;-0.003;26.7;27.14;4.016;
2024-01-26T19:58:26;0;26.82;26.87;-0.009;26.7;27.14;4.014;
2024-01-26T19:58:26;0;26.83;26.88;-0.003;26.7;27.14;4.014;
2024-01-26T19:58:27;0;26.84;26.89;-0.001;26.7;27.14;4.014;
2024-01-26T19:58:28;0;26.86;26.91;0.004;26.7;27.14;4.014;
2024-01-26T19:58:29;0;26.84;26.89;0.001;26.7;27.14;4.012;
2024-01-26T19:58:29;0;26.83;26.88;-0.005;26.7;27.14;4.014;
2024-01-26T19:58:30;0;26.84;26.89;-0.004;26.7;27.14;4.016;
2024-01-26T19:58:31;0;26.83;26.88;-0.004;26.7;27.14;4.014;
2024-01-26T19:58:32;0;26.82;26.87;0.004;26.7;27.14;3.996;
2024-01-26T19:58:32;0;26.81;26.86;-0.002;26.7;27.14;3.99;
2024-01-26T19:58:33;0;26.83;26.88;-0.001;26.7;27.14;3.99;
2024-01-26T19:58:34;0;26.8;26.85;-0.002;26.7;27.14;3.99;
2024-01-26T19:58:35;0;26.82;26.87;0.006;26.7;27.14;3.988;
2024-01-26T19:58:35;0;26.8;26.85;0.002;26.7;27.14;3.938;
2024-01-26T19:58:36;0;26.78;26.83;-0.005;26.6;27.04;3.822;
2024-01-26T19:58:37;0;26.82;26.87;0.003;26.7;27.14;3.796;
2024-01-26T19:58:37;0;26.81;26.86;-0.002;26.6;27.04;3.806;
2024-01-26T19:58:38;0;26.79;26.84;-0.001;26.6;27.04;3.816;
2024-01-26T19:58:39;0;26.8;26.85;0.001;26.6;27.04;3.808;
2024-01-26T19:58:40;0;26.8;26.85;0.004;26.6;27.04;3.872;
2024-01-26T19:58:40;0;26.82;26.87;-0.004;26.6;27.04;3.854;
2024-01-26T19:58:41;0;26.8;26.85;0;26.6;27.04;3.904;
2024-01-26T19:58:42;0;26.79;26.84;-0.006;26.6;27.04;3.92;
2024-01-26T19:58:43;51120;26.79;26.84;0.023;26.6;27.04;3.924;Mise à l'eau
2024-01-26T19:58:43;66200;26.79;26.84;-0.006;26.6;27.04;3.864;
2024-01-26T19:58:44;65830;26.78;26.83;0.004;26.6;27.04;3.854;
2024-01-26T19:58:45;66250;26.77;26.82;0.136;26.5;26.94;3.846;
2024-01-26T19:58:46;66270;26.79;26.84;0.284;26.5;26.94;3.85;
2024-01-26T19:58:46;66270;26.79;26.84;0.316;26.5;26.94;3.84;
2024-01-26T19:58:47;66250;26.79;26.84;0.238;26.5;26.94;3.842;
2024-01-26T19:58:48;66300;26.8;26.85;0.218;26.4;26.83;3.836;
2024-01-26T19:58:49;66280;26.78;26.83;0.489;26.4;26.83;3.844;
2024-01-26T19:58:49;66310;26.78;26.83;0.778;26.4;26.83;3.842;
2024-01-26T19:58:50;66330;26.78;26.83;1.064;26.3;26.73;3.844;
2024-01-26T19:58:51;66380;26.78;26.83;1.568;26.3;26.73;3.852;
2024-01-26T19:58:51;66410;26.78;26.83;1.771;26.3;26.73;3.854;
2024-01-26T19:58:52;66430;26.8;26.85;1.88;26.3;26.73;3.854;
2024-01-26T19:58:53;66480;26.79;26.84;2.423;26.3;26.73;3.854;
2024-01-26T19:58:54;66510;26.8;26.85;3.018;26.2;26.63;3.86;
2024-01-26T19:58:54;66570;26.78;26.83;3.233;26.2;26.63;3.856;
2024-01-26T19:58:55;66520;26.8;26.85;3.412;26.2;26.63;3.854;
2024-01-26T19:58:56;66550;26.78;26.83;4.03;26.2;26.63;3.854;
2024-01-26T19:58:57;66610;26.8;26.85;4.129;26.2;26.63;3.858;
2024-01-26T19:58:57;66570;26.78;26.83;4.207;26.2;26.63;3.856;
2024-01-26T19:58:58;66590;26.79;26.84;4.87;26.2;26.63;3.858;
2024-01-26T19:58:59;66550;26.78;26.83;5.384;26.2;26.63;3.858;
2024-01-26T19:59:00;66580;26.76;26.81;5.378;26.2;26.63;3.858;
2024-01-26T19:59:00;66600;26.77;26.82;5.166;26.1;26.53;3.858;
2024-01-26T19:59:01;66630;26.76;26.81;4.716;26.1;26.53;3.858;
2024-01-26T19:59:02;66600;26.78;26.83;4.625;26.1;26.53;3.864;
2024-01-26T19:59:03;66580;26.79;26.84;4.914;26.1;26.53;3.858;
2024-01-26T19:59:03;66630;26.78;26.83;5.132;26.1;26.53;3.86;
2024-01-26T19:59:04;66630;26.77;26.82;5.081;26.1;26.53;3.858;
2024-01-26T19:59:05;66630;26.76;26.81;4.61;26.1;26.53;3.864;
2024-01-26T19:59:05;66590;26.76;26.81;4.385;26.1;26.53;3.862;
2024-01-26T19:59:06;66620;26.77;26.82;4.567;26.1;26.53;3.864;
2024-01-26T19:59:07;66640;26.77;26.82;4.667;26.1;26.53;3.86;
2024-01-26T19:59:08;66660;26.76;26.81;4.544;26.1;26.53;3.862;
2024-01-26T19:59:08;66620;26.77;26.82;4.582;26.1;26.53;3.86;
2024-01-26T19:59:09;66670;26.76;26.81;4.806;26.1;26.53;3.86;
2024-01-26T19:59:10;66660;26.77;26.82;4.698;26.1;26.53;3.86;
2024-01-26T19:59:11;66650;26.76;26.81;4.355;26;26.43;3.86;
2024-01-26T19:59:11;66640;26.78;26.83;4.331;26;26.43;3.86;
2024-01-26T19:59:12;66660;26.77;26.82;4.485;26;26.43;3.864;
2024-01-26T19:59:13;66670;26.78;26.83;4.467;26;26.43;3.858;
2024-01-26T19:59:14;66670;26.76;26.81;4.355;26;26.43;3.862;
2024-01-26T19:59:14;66640;26.76;26.81;4.37;26;26.43;3.86;
2024-01-26T19:59:15;66700;26.76;26.81;4.273;26;26.43;3.862;
2024-01-26T19:59:16;66670;26.78;26.83;4.121;26;26.43;3.86;
2024-01-26T19:59:17;66720;26.77;26.82;4.167;26;26.43;3.86;
2024-01-26T19:59:17;66720;26.76;26.81;4.337;26;26.43;3.864;
2024-01-26T19:59:18;66680;26.75;26.8;4.523;26;26.43;3.86;
2024-01-26T19:59:19;66710;26.75;26.8;4.605;26;26.43;3.862;
2024-01-26T19:59:19;66690;26.74;26.79;4.437;26;26.43;3.864;
2024-01-26T19:59:20;66710;26.78;26.83;4.282;26;26.43;3.86;
2024-01-26T19:59:21;66710;26.77;26.82;4.328;26;26.43;3.858;
2024-01-26T19:59:22;66710;26.78;26.83;4.471;26;26.43;3.862;
2024-01-26T19:59:22;66720;26.76;26.81;4.43;26;26.43;3.858;
2024-01-26T19:59:23;66690;26.76;26.81;4.137;26;26.43;3.86;
2024-01-26T19:59:24;66710;26.76;26.81;4.112;26;26.43;3.858;
2024-01-26T19:59:25;66690;26.76;26.81;4.332;26;26.43;3.862;
2024-01-26T19:59:25;66750;26.75;26.8;4.481;26;26.43;3.86;
2024-01-26T19:59:26;66720;26.77;26.82;4.361;26;26.43;3.86;
2024-01-26T19:59:27;66700;26.76;26.81;4.202;26;26.43;3.86;
2024-01-26T19:59:28;66730;26.76;26.81;4.353;26;26.43;3.858;
2024-01-26T19:59:28;66700;26.78;26.83;4.528;26;26.43;3.862;
2024-01-26T19:59:29;66700;26.77;26.82;4.612;26;26.43;3.86;
2024-01-26T19:59:30;66720;26.77;26.82;4.517;26;26.43;3.86;
2024-01-26T19:59:31;66750;26.76;26.81;4.331;26;26.43;3.862;
2024-01-26T19:59:31;66750;26.78;26.83;4.033;26;26.43;3.86;
2024-01-26T19:59:32;66730;26.77;26.82;3.648;26;26.43;3.86;
2024-01-26T19:59:33;66760;26.77;26.82;3.387;26;26.43;3.856;
2024-01-26T19:59:33;66760;26.78;26.83;3.068;26;26.43;3.86;
2024-01-26T19:59:34;66750;26.78;26.83;2.685;26;26.43;3.858;
2024-01-26T19:59:35;66740;26.8;26.85;2.331;26;26.43;3.856;
2024-01-26T19:59:36;66780;26.79;26.84;2.188;26;26.43;3.858;
2024-01-26T19:59:36;66790;26.78;26.83;2.135;26;26.43;3.862;
2024-01-26T19:59:37;66740;26.79;26.84;1.991;26;26.43;3.86;
